# Manual semantic placement of footnote markers.
# Format: scan<TAB>note_no<TAB>anchor_snippet
# anchor_snippet: a substring of the cleaned-with-notes markdown prose
#   (currently-placed FOOTNOTE/UNANCHORED sentinels are stripped before
#   matching).  The footnote sentinel is inserted IMMEDIATELY AFTER the
#   first occurrence of the snippet.
# Rationale for each placement: see comments above each row.
# 
# Comments must start with '#'.  Blank lines ignored.

# === Preface (scan 13) ===
# Note 3 cites Chang Kwang-chih on Shang vs Yin terminology.  Marker is
# at "...prior to P'an Keng's removal of the capital to Yin." in OCR
# (the missing superscript ³ was lost).
# place note 5 at "Ch'iieh® divined." (after divined.) and note 6 at
# "Ch'iieh®" (immediately after the name).  Skip both — too uncertain.

# === Chapter 2 page 40 (scan 57) ===
# Note 57 (See, for example, sec. 3.7.4.2): the body is just a cross-ref.
# Looking at MARK56's location and following "** This does not exclude...
# (n. 47) ... (n. 48) ... (n. 46)" — the next inline marker is the "**"
# right after MARK56 ends; OCR reads `<!-- /FOOTNOTE -->** This does not exclude`.
# That ** is note 57.  Anchor after the second "*".
# Skip: anchor would land inside the closing comment of MARK56.

# === Chapter 3 page 57 (scan 74) ===
# Note 3 (Shima 1971 preface): currently MARK2 placed at end "indicate how
# they may be used.⟦MARK2⟧" — but body of MARK2 reads "Shima (1971)..." —
# that's actually note 3 content (about ~1000 articles count).  And the
# "*" at "over 970\nmonographs*" is actually the marker for note 3.
# Skip: this is a misplacement among already-anchored notes, not really
# our 73 unanchored category.

# === Chapter 3 page 58 (scan 75) ===
# Note 6 (about indexes/CKWP/Sōrui): marker is at "Table 9g lists the
# commentaries which exist for the major published collections.®"
# The "®" (=⁶) marks note 6.
75	6	for the major published collections.

# === Chapter 3 page 59 (scan 76) ===
# Note 9 (Chin Hsiang-heng, Hsü chia-ku wen-pien): marker is at end of
# "Hsii chia-ku wen-pien.®" (=⁹).
76	9	supplemented. on occasion, with Hsii chia-ku wen-pien.

# === Chapter 4 page 90 (scan 110) ===
# Note 5 (Ch'en Meng-chia & "broader periodization Early/Middle/Late"):
# marker is at "is dated not to what would logically be period VII but
# to period IVa.⁵" — OCR reads "to period 1Va.°".
110	5	to period 1Va.

# === Chapter 4 page 91 (scan 111) ===
# Note 9 (Tung's combined categories): marker is at "the analysis which
# follows combines some of his categories,⁹".  OCR shows "combines some
# of his categories,® introduces new ones".
111	9	combines some of his categories,

# === Chapter 4 page 92 (scan 112) ===
# Note 13 (genealogical info: kings recorded in Shih-chi): marker is at
# "...recorded in the inscriptions but not in Shih-chi.¹³" — OCR shows
# "Shih-chi.¥" (¥ = ¹³).
112	13	but not in Shih-chi.

# === Chapter 4 page 116 (scan 134) ===
# Note 111 (Britton, Crump on auspicious-only prognostications):
# marker at "this routine optimism ... is a useful criterion for
# dating.¹¹¹" — OCR shows "useful criterion for\ndating.!!'".
134	111	useful criterion for\ndating.

# === Chapter 4 page 117 (scan 135) ===
# Note 117 (Table 26 no. 7e: graphic form of chan): marker at
# "the change in the graphic form of chan, 'to read the cracks.'¹¹⁷".
# OCR shows "graphic form of chan, ‘to read the cracks.”17".
135	117	‘to read the cracks.”

# === Chapter 5 page 134 (scan 151) ===
# Note 2 (Kane 1973 on bronze inscriptions): marker at "Certain bronze
# inscriptions, which all date from late in the historical period,²".
151	2	all date from late in the historical\nperiod,

# === Chapter 5 page 135 (scan 152) ===
# Note 6 (Wu-ch'eng/Kao-ch'eng pottery symbols): marker at "This
# situation may change as new finds are made,⁶".
152	6	as new finds are made,
# Note 7 (Kane 1974/75; Barnard & Satō 1975): marker at "promise to
# tell us much about the evolution and extent of Shang culture.⁷".
152	7	the evolution\nand extent of Shang culture.
# Note 8 (Evans-Pritchard, Middleton et al. on comparative divination):
# marker at "should only be used when it can be well supported by the
# Shang evidence itself.⁸".
152	8	supported by the Shang evidence itself.
# Note 9 (Gelb 1967 on archival fallacy): marker at "the 'archival
# fallacy' which confuses the archive with the world.⁹".
152	9	confuses the archive with the world.


